bank,question_index,question_id,number,type,answer,audit_status,severity,confidence,issue_types,recommended_type,recommended_answer,reason,suggested_fix,stem_preview
history,57,q0351,351,multi,ABCD,suspect,medium,0.9,analysis_mismatch,multi,ABCD,解析中提到了《北京条约》割让九龙司，但选项中没有《北京条约》，且解析未提及《改定伊犁条约》割地，而答案包含D。解析与答案不完全一致。,修改解析，明确说明《改定伊犁条约》也涉及割地（如割让霍尔果斯河以西领土），或调整选项。,下列条约中涉及到割地的条约是（ ）
history,94,q0024,24,multi,AD,suspect,medium,0.9,stem_error,multi,AD,题干末尾的选项D中包含了无关文本'2.近代中国的历史任务是（ ）'，属于题干残留广告或无关文本，应删除。,将选项D修改为'D. 封建主义和人民大众的矛盾'，删除末尾的'2.近代中国的历史任务是（ ）'。,近代中国占支配地位的主要社会矛盾是（ ）
history,170,q0166,166,single,B,suspect,medium,0.9,stem_error,,,题干末尾包含广告信息'更多资料请加河南大学考试墙QQ2139034270、河南大学小过儿QQ2221565155'，属于无关文本，应删除。,删除题干末尾的广告文本，仅保留'中国革命历史上制定的第一个土地法是（ ）'。,中国革命历史上制定的第一个土地法是（ ）更多资料请加河南大学考试墙QQ2139034270、河南大学小过儿QQ2221565155
history,192,q0083,83,single,C,suspect,medium,0.9,stem_error,,,题干末尾包含广告信息'更多资料请加河南大学考试墙QQ2139034270、河南大学小过儿QQ2221565155'，属于无关文本，应删除。,删除题干末尾的广告文本，仅保留'孙中山三民主义思想的核心是（ ）。',孙中山三民主义思想的核心是（ ）。更多资料请加河南大学考试墙QQ2139034270、河南大学小过儿QQ2221565155
history,214,q0222,222,multi,ABD,suspect,medium,0.9,analysis_mismatch,multi,ABD,解析中称C项为大地主大资产阶级，但选项C是城市小资产阶级，解析内容与选项不符，存在明显错误。,修改解析：将'C项大地主大资产阶级'改为'C项城市小资产阶级属于进步势力，不属于中间势力'。,在抗日民族统一战线中，中国共产党争取的中间势力指的是（ ）
history,217,q0035,35,single,C,suspect,medium,0.9,stem_error,,,题干中'天平天国'应为'太平天国'，属于严重错别字，影响题目准确性。,将题干中的'天平天国'改为'太平天国'。,以下不属于天平天国与旧式的农民战争相比新特点的是（ ）
history,286,q0098,98,multi,ABCD,suspect,medium,0.9,analysis_mismatch,multi,ABCD,解析中选项C为'同农民结成了联盟'，但题干选项C是'建立了中华民国'，解析与选项不一致。,修正解析，将'同农民结成了联盟'改为'建立了中华民国'，或调整选项C为'同农民结成了联盟'。,辛亥革命在比较完全意义上开始了中国资产阶级民主革命，是因为资产阶级革命派（ ）
history,305,q0301,301,single,B,suspect,medium,0.9,analysis_mismatch,single,B,解析中正确答案B的表述为“说明了太平天国运动爆发的原因”，但选项B原文是“列强侵略激化了国内已尖锐的阶级矛盾”，两者不一致，解析未准确对应选项内容。,将解析中“正确答案B‘说明了太平天国运动爆发的原因’”改为“正确答案B‘列强侵略激化了国内已尖锐的阶级矛盾’准确反映了题干中‘回声’的含义，即鸦片战争加剧了原有矛盾，导致太平天国运动爆发。”,“太平天国运动是鸦片战争炮声的回声”，这句话反映了（ ）
mayuan,171,q0171,40,single,A,suspect,medium,0.9,option_error,single,A,选项D末尾包含无关文本'22.生产关系是人们在'，疑似题干残留或格式错误。,删除选项D末尾的'22.生产关系是人们在'，仅保留'D. 历史规律和自然规律存在着惊人的相似性'。,习近平强调，“ 历史是最好的教科书”，“历史的经验值得注意，历史的教训更应引以为戒”，“中国革命历史是最好的营养剂”。人们能够从历史中 汲取经 验教训，是因为( )
mayuan,205,q0205,13,single,B,suspect,medium,0.9,answer_mismatch,single,A,题干问形成商品价值量的劳动尺度，正确应为社会必要劳动时间，选项A正确。当前答案B（简单劳动）是衡量社会必要劳动时间的尺度，但题干直接问形成价值量的劳动尺度，应选A。解析也矛盾，说正确答案是B但解释中又提到社会必要劳动时间。,将当前答案改为A，并修正解析：商品价值量由社会必要劳动时间决定，因此形成商品价值量的劳动是以社会必要劳动为尺度的。,形成商品价值量的劳动，是以（ ）
mayuan,251,q0251,10,multi,AB,suspect,medium,0.9,stem_error,multi,AB,题干末尾出现无关文本'河南大学小过儿 QQ2221565155'，疑似广告或水印残留，应删除。,删除题干末尾的'河南大学小过儿 QQ2221565155'，保留'劳动力商品使用价值的特殊性表现在（ ）'。,劳动力商品使用价值的特殊性表现在（ ）、河南大学小过儿 QQ2221565155
mayuan,404,q0404,104,judge,错,suspect,medium,0.9,analysis_mismatch,judge,对,题干表述正确：社会意识相对独立性的突出表现就是与社会存在发展的不完全同步性和不平衡性。解析却认为混淆了‘突出表现’与‘原因’，但题干并未提及‘原因’，解析有误。,将答案改为‘对’，并修改解析为：‘正确。社会意识相对独立性的突出表现正是与社会存在发展的不完全同步性和不平衡性。’,社会意识与社会存在发展具有不完全同步性和不平衡性，是社会意识相对独立性的突出表现。
mayuan,409,q0409,109,judge,对,suspect,medium,0.9,stem_error,judge,对,题干不完整，结尾为'挫折简单'，缺少后续内容，可能影响判断。但根据现有部分和解析，答案'对'合理。,补充完整题干，例如添加'简单归咎于个人'等，确保表述完整。,习近平在纪念毛泽东同志诞辰 120 周年座谈会上的讲话中指出:“不能把历史顺境中的成功简单归功于个人，也不能把历史逆境中的挫折简单
mayuan,427,q0427,127,judge,对,suspect,medium,0.9,stem_error,judge,对,题干末尾缺少句号，且句子不完整，可能遗漏了“具有重大意义”等关键内容，但根据上下文可推断为正确。,在题干末尾添加句号，并补全句子为“具有重大意义”。,中国特色社会主义的成功，不仅在中华人民共和国发展史和中华民族发展史上具有重大意义，而且在世界社会主义发展史和人类社会发展史
mayuan,433,q0433,133,judge,错,suspect,medium,0.9,analysis_mismatch,judge,错,题干表述为'思维与存在的问题'，缺少'关系'二字，但哲学基本问题通常表述为'思维与存在的关系问题'。当前答案'错'与解析一致，但解析指出题干不完整，而题干本身可能被视为错误表述，因此答案正确但解析与题干存在细微矛盾。,将题干修改为'全部哲学，特别是近代哲学的重大的基本问题，是思维与存在的关系问题。'或保留原题干并确认答案'错'。,全部哲学，特别是近代哲学的重大的基本问题，是思维与存在的问题。
mayuan,444,q0444,144,judge,对,suspect,medium,0.9,stem_error,judge,对,题干末尾'必须重新开始争取必'明显不完整，疑似截断或缺失文字，影响理解。,补充完整题干，例如：'必须重新开始争取必需品的斗争'。,"生产力的发展是绝对必需的，""因为如果没有这种发展，那就只会有贫穷，极端贫困的普遍化；而在极端贫困的情况下，必须重新开始争取必"
mayuan,449,q0449,149,judge,对,suspect,medium,0.9,stem_error,judge,对,题干末尾'同时争'不完整，疑似缺失'取更好结果'等文字，影响理解。,补充题干末尾为'同时争取更好结果'。,底线思维是我们在认识世界和改造世界的过程中，根据我们的需要和客观的条件，划青并坚守底线，尽力化解风险，避免最坏结果，同时争
mayuan,451,q0451,151,judge,错,suspect,medium,0.9,stem_error,judge,错,题干不完整，末尾'而相对真理就'后内容缺失，影响判断。但根据现有表述和解析，答案'错'合理。,补全题干：'而相对真理就是相对正确的真理。'或删除末尾不完整部分。,真理是标志主观与客观相符合的哲学范畴，是对客观事物及其规律的正确反映。通俗地讲，绝对真理就是指绝对正确的真理，而相对真理就
sixiu,41,q0041,41,multi,ABD,suspect,medium,0.9,stem_error,multi,ABD,题干末尾包含广告信息'更多资料请加河南大学考试墙QQ2139034270、河南大学小过儿QQ2221565155'，属于无关文本，应删除。,删除题干末尾的广告文本，仅保留'世界观和人生观的关系是（	）'。,世界观和人生观的关系是（	）更多资料请加河南大学考试墙QQ2139034270、河南大学小过儿QQ2221565155
sixiu,64,q0064,64,single,C,suspect,medium,0.9,answer_mismatch,multi,ABC,题干问关系，选项A、B、C均正确，D错误。当前答案只选C，但A和B也是正确表述，应为多选题。,将题型改为multi，答案改为ABC，解析补充A和B的正确性。,个人理想与社会理想的关系是（	）
sixiu,69,q0069,69,judge,错,suspect,medium,0.9,analysis_mismatch,judge,对,解析指出'理想是最高层次的信念，具有最大的统摄力'是正确的，但答案却判为'错'，解析与答案矛盾。,将答案改为'对'，或修改解析以支持'错'的答案。,理想是最高层次的信念，具有最大的统摄力。（	）
sixiu,71,q0071,71,single,C,suspect,medium,0.9,analysis_mismatch,,B,解析指出正确答案是B，但当前答案为C，解析与答案不一致。,将当前答案改为B，或修改解析使其与答案C一致。,以下（）不是表现为对矢志不渝的坚守理想。
sixiu,86,q0086,86,multi,ABC,suspect,medium,0.9,analysis_mismatch,multi,ABCD,解析指出选项D也符合，但答案却只选ABC，存在矛盾。根据解析，正确答案应为ABCD。,将current_answer改为ABCD，或修改解析使其与ABC一致。,"中华民族在五千多年的历史进程中,不仅创造出光辉灿烂、享誉世界的中华文明,也塑造出中华民族独特的精神气质和精神品 格,形成了崇尚精神的优秀传统。中华民族崇尚精神的优秀传统表现在（）。"
sixiu,88,q0088,88,multi,AD,suspect,medium,0.9,analysis_mismatch,multi,ACD,解析中承认爱国主义是历史的，但答案未选C，与解析矛盾。,将答案改为ACD，或修改解析排除C。,爱国主义是（）。
sixiu,91,q0091,91,multi,ABCD,suspect,medium,0.9,option_error,multi,ABCD,选项A中包含了两个选项的内容，且选项B、C、D的字母标记与内容不匹配，存在格式错误。,将选项A拆分为两个选项：A. 坚持爱国主义和社会主义相统一；B. 维护祖国统一和民族团结。然后调整后续选项字母。,"经过长期努力,中国特色社会主义进入了新时代,这是我国发展新的历史方位。新时代的爱国主义的基本要求是()"
xigai,2,q0112,112,multi,CD,suspect,medium,0.9,answer_mismatch,multi,ABCD,题干要求选择扎实推进共同富裕的原则，解析中只解释了C和D，但根据官方表述，A和B也是重要原则，当前答案CD不完整，应为ABCD。,将当前答案改为ABCD，并补充解析中A和B的解释。,扎实推进共同富裕，要把握好（ ）的原则。
xigai,42,q0218,218,multi,AB,suspect,medium,0.9,answer_mismatch,multi,ABC,解析指出C选项不正确，但根据我国基层民主实践，职工代表大会是企事业单位职工参与民主管理的重要形式，属于基层民主范畴。当前答案AB与解析矛盾，且解析对C的判断有误。,将当前答案改为ABC，并修正解析：我国基层民主包括农村村民自治、城市居民自治和企事业单位职工自治，分别对应村民委员会、社区居民委员会和职工代表大会。,我国基层民主有多种多样的形式，如（ ）。
xigai,65,q0224,224,multi,BCD,suspect,medium,0.9,answer_mismatch,multi,ABCD,A选项表述虽不完整，但核心内容“长期共存、互相监督、肝胆相照、荣辱与共”是多党合作方针，且“中国共产党领导的政治协商制度”是常见表述，应视为正确。解析认为A有误，但实际A正确，故答案应为ABCD。,将current_answer改为ABCD，并修改解析，说明A选项正确。,巩固和发展爱国统一战线，应该着手做好以下工作（ ）。
xigai,163,q0305,305,single,A,suspect,medium,0.9,option_error,single,A,选项C包含无关文本'法律共学课习交流'，疑似广告或错误拼接，应修正为规范表述。,将选项C修改为'C. 中国特色社会主义法治体系'或删除该选项，确保选项内容与题干相关。,基层治理是国家治理的基石，统筹推进乡镇（街道）和城乡社区治理，是实现（ ）的基础工程。
xigai,177,q0359,359,single,A,suspect,medium,0.9,answer_mismatch,single,B,题干问‘使命’，常见表述是‘为中国人民谋幸福，为中华民族谋复兴’（B选项），而A选项‘为人类作出新的更大的贡献’是‘使命’的一部分但非标准表述。解析与答案一致但可能错误。,将答案改为B，并修改解析为‘正确答案是B。中国共产党始终把为中国人民谋幸福、为中华民族谋复兴作为自己的使命。’,中国共产党始终把（ ）作为自己的使命。
xigai,271,q0063,63,multi,ACD,suspect,medium,0.9,answer_mismatch,multi,ABCD,中国式现代化有五个特征，包括全体人民共同富裕的现代化。B选项表述为'共同发展'，但解析指出应为'共同富裕'，且当前答案ACD未包含B，但B选项内容接近正确，可能因表述不准确被排除。然而标准答案通常包含所有五个特征，建议确认B选项是否应选。,若B选项应为'全体人民共同富裕的现代化'，则答案应为ABCD；若保持原表述，则需修改解析或选项。,中国式现代化的特征是（ ）。
xigai,295,q0130,130,multi,BC,suspect,medium,0.9,answer_mismatch;analysis_mismatch,multi,AC,题干强调最核心的是坚持和改善党的领导、坚持和完善中国特色社会主义制度，对应选项A和C。当前答案BC与题干不符，解析也错误地将B作为核心。,将当前答案改为AC，解析改为：正确答案是AC。改革开放最核心的政治原则是坚持和改善党的领导（A）以及坚持和完善中国特色社会主义制度（C），偏离这两条就会南辕北辙。,改革开放要坚守政治原则和底线，不是改弦更张。这里面最核心的是（ ）、（ ），偏离了这一条，那就南辕北辙了。
xigai,346,q0256,256,multi,ACD,suspect,medium,0.9,answer_mismatch,multi,ABCD,全面推进依法治国重点任务通常包括科学立法、严格执法、公正司法、全民守法四个方面，解析中虽提及严格执法重要但排除，与主流表述不符，建议答案应为ABCD。,将当前答案改为ABCD，并修改解析，说明严格执法是重点任务之一。,准确把握全面推进依法治国重点任务，着力推进（ ）。
history,187,q0184,184,single,A,suspect,medium,0.8,stem_error,single,A,题干中'党揩挥枪'应为'党指挥枪'，存在错别字，影响理解。,将题干中的'党揩挥枪'改为'党指挥枪'。,党揩挥枪的原则终定型于（ ）
mayuan,146,q0146,25,multi,AC,suspect,medium,0.8,analysis_mismatch,multi,BC,解析认为A正确，但A说真理尺度侧重主观性，而真理尺度应侧重客观性（客体性），因此A错误。解析与答案不一致，且解析本身存在矛盾。,将答案改为BC，并修正解析：真理尺度侧重客体性，价值尺度侧重主体性，故B正确；C正确；A错误；D错误。,真理尺度和价值尺度的区分是( )
mayuan,445,q0445,145,judge,错,suspect,medium,0.8,analysis_mismatch,judge,对,题干表述正确：世界的物质统一性原理是辩证唯物主义最基本、最核心的观点，也是马克思主义的基石。解析却认为实践观点是基石，与主流教材观点不符，导致答案与解析矛盾。,将答案改为'对'，解析改为：该说法正确。世界的物质统一性原理是辩证唯物主义最基本、最核心的观点，是马克思主义哲学的基石。,世界的物质统一性原理是辩证唯物主义最基本，最核心的观点，是马克思主义的基石。
xigai,12,q0113,113,multi,AD,suspect,medium,0.8,analysis_mismatch,multi,AD,解析中认为C项是过程而非结果，但题干中“推动党和国家事业”后接“发生历史性变革”也常见于官方表述，且解析未充分说明为何不选C，存在逻辑矛盾。,建议修改解析，明确C项“发生历史性变革”也是推动的结果之一，或调整答案包含C项。,党依靠人民，推动党和国家事业（ ），推动中国特色社会主义进入新时代。
xigai,37,q0114,114,multi,BCD,suspect,medium,0.8,answer_mismatch,multi,ABCD,题干强调“以人民为中心”是党的生动体现，A项“立党为公”也是党的根本原则，与“以人民为中心”紧密相关，解析中认为A不契合实践性表述，但“立党为公”本身包含为民思想，通常与“执政为民”并列，因此A也应入选。当前答案BCD可能遗漏A。,将答案改为ABCD，解析中说明A项“立党为公”也是以人民为中心的体现，与BCD共同构成完整答案。,以人民为中心是我们党（ ）的生动体现，是全心全意为人民服务的时代彰显。
xigai,43,q0199,199,judge,错,suspect,medium,0.8,analysis_mismatch,judge,对,题干表述与官方权威表述一致，如习近平强调‘人才是国之大计、党之大计’，且‘基础性、先导性、全局性’是常见官方用语。解析认为‘始终’绝对化，但官方表述中常使用‘始终’一词，故解析与题干不符。,建议将答案改为‘对’，并修改解析以匹配官方表述。,人才是国之大计、党之大计，是国家经济社会发展的支撑力量，在国家发展中始终具有基础性先导性全局性地位。（ ）
xigai,92,q0080,80,multi,AB,suspect,medium,0.8,answer_mismatch,multi,AB,解析中提及'国家性质'和'国体政体'，但选项B是'国体政体'，而解析将国体政体解释为人民代表大会制度，实际上国体是人民民主专政，政体是人民代表大会制度，选项B表述不够准确。但当前答案AB与解析一致，问题在于选项B的表述可能引起歧义。,将选项B改为'国体'或'政体'，或修改解析使其与选项B一致。,党是最高政治领导力量，这是由我国（ ）和（ ）所决定的。
xigai,194,q0014,14,multi,ABC,suspect,medium,0.8,analysis_mismatch,multi,ABC,解析指出D项是成就而非关键时期原因，但未明确排除D，且题干要求选择原因，D项可能也合理，解析与答案存在逻辑不一致。,建议修改解析，明确说明D项为何不选，或调整答案包含D项。,新时代中国正处于中华民族伟大复兴的关键时期，因为（ ）。
xigai,323,q0083,83,multi,AB,suspect,medium,0.8,answer_mismatch,multi,ABCD,解析提到公有制主体地位和共同富裕，对应选项C和D未包含在答案中，且题干强调‘根本’，选项B和C、D均为重要特征，答案可能不完整。,若题目要求选择所有根本要素，答案应为ABCD；若仅选最根本的，则需调整解析或选项。,中国特色社会主义之所以是社会主义，究其根本就在于（ ）。
xigai,376,q0300,300,judge,错,suspect,medium,0.8,analysis_mismatch,judge,错,解析指出原句对硬实力作用的描述不准确，但题干中硬实力作用表述为“标志性、基础性作用”，解析认为应为“决定性、基础性”，存在争议。但答案“错”与解析一致，仅解析理由可能不充分。,建议核实教材或权威表述，确认硬实力是否具有“标志性”作用。若原句正确，则答案应为“对”；否则保持“错”并修正解析。,文化软实力集中体现了一个国家基于文化而具有的凝聚力和生命力，以及由此产生的吸引力和影响力。在一个国家的总体实力中，国家的硬实力固然具有标志性、基础性作用。（ ）
history,45,q0142,142,multi,ABD,suspect,low,0.9,analysis_mismatch,multi,ABD,解析指出C选项错误，但题干问的是'有关的是'，C选项'是五四运动的主要领导者'存在争议，通常认为陈独秀是五四运动的主要领导者之一，因此C可能正确。解析与常见史实有出入。,若认为C正确，答案应为ABCD；若坚持C错误，需在解析中提供更充分依据。建议核实史实后调整答案或解析。,下列活动与陈独秀有关的是（ ）。
history,159,q0239,239,multi,ABCD,suspect,low,0.9,typo,multi,ABCD,选项D中'继续低保持'应为'继续地保持'，存在错别字。,将选项D中的'继续低保持'改为'继续地保持'。,下列哪些是1949年3月七届二中全会的内容（ ）。
history,239,q0017,17,single,C,suspect,low,0.9,stem_error,,,题干末尾包含广告文本'更多资料请加河南大学考试墙QQ2139034270、河南大学小过儿QQ2221565155'，属于无关内容，应删除。,删除题干末尾的广告文本，仅保留'列强未能瓜分中国的根本原因在于（ ）'。,列强未能瓜分中国的根本原因在于（ ）更多资料请加河南大学考试墙QQ2139034270、河南大学小过儿QQ2221565155
mayuan,36,q0036,37,single,A,suspect,low,0.9,stem_error,single,A,题干末尾有无关文本'河南大学小过儿 QQ2221565155'，疑似广告或联系方式，应删除。,删除题干末尾的'河南大学小过儿 QQ2221565155'，保留'矛盾问题的精髓是指（ ）'。,矛盾问题的精髓是指（ ） 、河南大学小过儿 QQ2221565155
mayuan,213,q0213,22,single,B,suspect,low,0.9,stem_error,,,题干末尾有无关文本'河南大学小过儿 QQ2221565155'，疑似广告或水印，应删除。,删除题干末尾的'、河南大学小过儿 QQ2221565155'，仅保留'货币转化为资本的决定性前提是（  ）'。,货币转化为资本的决定性前提是（ ）、河南大学小过儿 QQ2221565155
